,MatchID,Season,MatchWeek,Date,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,Referee,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards
2696,2000-2001_Derby_Middlesbrough,2000-2001,3,2000-09-06,Derby,Middlesbrough,3,3,D,Rob Styles,8.0,10.0,3.0,2.0,0.0,0.0
2697,2000-2001_Leicester_Ipswich,2000-2001,3,2000-09-06,Leicester,Ipswich,2,1,H,Paul Taylor,12.0,13.0,1.0,1.0,0.0,0.0
2698,2000-2001_Liverpool_Aston Villa,2000-2001,3,2000-09-06,Liverpool,Aston Villa,3,1,H,Neale Barry,13.0,7.0,0.0,2.0,0.0,0.0
2699,2000-2001_Bradford_Arsenal,2000-2001,4,2000-09-09,Bradford,Arsenal,1,1,D,Alan Wiley,17.0,13.0,0.0,2.0,0.0,0.0
2700,2000-2001_Coventry_Leeds,2000-2001,4,2000-09-09,Coventry,Leeds,0,0,D,Paul Durkin,15.0,14.0,2.0,2.0,0.0,0.0
2701,2000-2001_Ipswich_Aston Villa,2000-2001,4,2000-09-09,Ipswich,Aston Villa,1,2,A,Andy D'Urso,9.0,13.0,1.0,3.0,0.0,0.0
2702,2000-2001_Leicester_Southampton,2000-2001,4,2000-09-09,Leicester,Southampton,1,0,H,Mike Dean,6.0,9.0,0.0,0.0,0.0,0.0
2703,2000-2001_Liverpool_Man City,2000-2001,4,2000-09-09,Liverpool,Man City,3,2,H,Graham Barber,17.0,17.0,3.0,4.0,0.0,0.0
2704,2000-2001_Man United_Sunderland,2000-2001,4,2000-09-09,Man United,Sunderland,3,0,H,Neale Barry,18.0,14.0,1.0,3.0,0.0,0.0
2705,2000-2001_Middlesbrough_Everton,2000-2001,4,2000-09-09,Middlesbrough,Everton,1,2,A,Steve Bennett,16.0,5.0,3.0,0.0,0.0,0.0
2706,2000-2001_Newcastle_Chelsea,2000-2001,4,2000-09-09,Newcastle,Chelsea,0,0,D,Graham Poll,17.0,21.0,0.0,3.0,0.0,0.0
2707,2000-2001_Derby_Charlton,2000-2001,4,2000-09-10,Derby,Charlton,2,2,D,Peter Jones,17.0,12.0,3.0,1.0,0.0,0.0
2708,2000-2001_Tottenham_West Ham,2000-2001,4,2000-09-11,Tottenham,West Ham,1,0,H,Steve Dunn,14.0,13.0,1.0,2.0,0.0,0.0
2709,2000-2001_Arsenal_Coventry,2000-2001,5,2000-09-16,Arsenal,Coventry,2,1,H,Mike Dean,5.0,13.0,1.0,2.0,0.0,0.0
2710,2000-2001_Aston Villa_Bradford,2000-2001,5,2000-09-16,Aston Villa,Bradford,2,0,H,Rob Styles,8.0,12.0,0.0,2.0,0.0,0.0
2711,2000-2001_Charlton_Tottenham,2000-2001,5,2000-09-16,Charlton,Tottenham,1,0,H,Jeff Winter,8.0,10.0,0.0,0.0,0.0,0.0
2712,2000-2001_Everton_Man United,2000-2001,5,2000-09-16,Everton,Man United,1,3,A,Dermot Gallagher,10.0,11.0,4.0,1.0,0.0,0.0
2713,2000-2001_Leeds_Ipswich,2000-2001,5,2000-09-16,Leeds,Ipswich,1,2,A,Mark Halsey,12.0,19.0,1.0,3.0,0.0,0.0
2714,2000-2001_Southampton_Newcastle,2000-2001,5,2000-09-16,Southampton,Newcastle,2,0,H,Barry Knight,14.0,14.0,0.0,0.0,0.0,0.0
2715,2000-2001_Sunderland_Derby,2000-2001,5,2000-09-16,Sunderland,Derby,2,1,H,Paul Taylor,16.0,28.0,2.0,3.0,0.0,0.0
2716,2000-2001_Chelsea_Leicester,2000-2001,5,2000-09-17,Chelsea,Leicester,0,2,A,Graham Barber,16.0,17.0,3.0,1.0,0.0,0.0
2717,2000-2001_Man City_Middlesbrough,2000-2001,5,2000-09-17,Man City,Middlesbrough,1,1,D,Steve Lodge,15.0,11.0,2.0,5.0,0.0,0.0
2718,2000-2001_West Ham_Liverpool,2000-2001,5,2000-09-17,West Ham,Liverpool,1,1,D,David Ellaray,5.0,13.0,0.0,2.0,0.0,0.0
2719,2000-2001_Bradford_Southampton,2000-2001,6,2000-09-23,Bradford,Southampton,0,1,A,Steve Dunn,14.0,18.0,3.0,1.0,0.0,0.0
2720,2000-2001_Coventry_West Ham,2000-2001,6,2000-09-23,Coventry,West Ham,0,3,A,Neale Barry,12.0,11.0,0.0,1.0,0.0,0.0
2721,2000-2001_Derby_Leeds,2000-2001,6,2000-09-23,Derby,Leeds,1,1,D,Barry Knight,17.0,15.0,2.0,2.0,1.0,0.0
2722,2000-2001_Ipswich_Arsenal,2000-2001,6,2000-09-23,Ipswich,Arsenal,1,1,D,Paul Durkin,8.0,13.0,1.0,2.0,0.0,0.0
2723,2000-2001_Liverpool_Sunderland,2000-2001,6,2000-09-23,Liverpool,Sunderland,1,1,D,Mike Riley,14.0,18.0,2.0,2.0,0.0,0.0
2724,2000-2001_Man United_Chelsea,2000-2001,6,2000-09-23,Man United,Chelsea,3,3,D,Peter Jones,15.0,19.0,3.0,2.0,0.0,0.0
2725,2000-2001_Middlesbrough_Aston Villa,2000-2001,6,2000-09-23,Middlesbrough,Aston Villa,1,1,D,Mark Halsey,7.0,14.0,3.0,0.0,0.0,0.0
2726,2000-2001_Newcastle_Charlton,2000-2001,6,2000-09-23,Newcastle,Charlton,0,1,A,Andy D'Urso,14.0,10.0,1.0,2.0,0.0,0.0
2727,2000-2001_Tottenham_Man City,2000-2001,6,2000-09-23,Tottenham,Man City,0,0,D,Steve Bennett,10.0,14.0,0.0,2.0,0.0,0.0
2728,2000-2001_Leicester_Everton,2000-2001,6,2000-09-24,Leicester,Everton,1,1,D,Alan Wiley,14.0,13.0,3.0,1.0,0.0,0.0
2729,2000-2001_Aston Villa_Derby,2000-2001,7,2000-09-30,Aston Villa,Derby,4,1,H,David Ellaray,0.0,1.0,1.0,1.0,0.0,0.0
2730,2000-2001_Charlton_Coventry,2000-2001,7,2000-09-30,Charlton,Coventry,2,2,D,Rob Styles,8.0,16.0,1.0,2.0,0.0,0.0
2731,2000-2001_Everton_Ipswich,2000-2001,7,2000-09-30,Everton,Ipswich,0,3,A,Jeff Winter,6.0,5.0,1.0,0.0,0.0,0.0
2732,2000-2001_Leeds_Tottenham,2000-2001,7,2000-09-30,Leeds,Tottenham,4,3,H,Neale Barry,11.0,20.0,0.0,2.0,0.0,0.0
2733,2000-2001_Man City_Newcastle,2000-2001,7,2000-09-30,Man City,Newcastle,0,1,A,Paul Taylor,16.0,12.0,0.0,1.0,0.0,0.0
2734,2000-2001_Southampton_Middlesbrough,2000-2001,7,2000-09-30,Southampton,Middlesbrough,1,3,A,Graham Poll,6.0,22.0,2.0,2.0,0.0,0.0
2735,2000-2001_West Ham_Bradford,2000-2001,7,2000-09-30,West Ham,Bradford,1,1,D,Mike Dean,14.0,10.0,3.0,2.0,0.0,0.0
2736,2000-2001_Arsenal_Man United,2000-2001,7,2000-10-01,Arsenal,Man United,1,0,H,Graham Barber,18.0,17.0,2.0,3.0,0.0,0.0
2737,2000-2001_Chelsea_Liverpool,2000-2001,7,2000-10-01,Chelsea,Liverpool,3,0,H,Dermot Gallagher,14.0,14.0,1.0,1.0,0.0,0.0
